track_rank,track_id,track_name,artists,track_duration,track_is_explicit,track_popularity,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
30,2dpMdklbSc5CmZ3ijhknZ5,Wasted,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}]",3.0434666666666668,False,55,0FIP7MeIO3yqL8K6uTz3b1,Vikram (Original Motion Picture Soundtrack),2022,album,Anirudh Ravichander,,4zCH9qm4R2DADamUHMCa6O,,0.651,0.827,10,-5.108,0,0.0319,0.00162,0.0902,0.0803,0.851,85,16339229,desi hip hop,"filmi, tamil hip hop"
34,4HdzYTQiouB9BVYX7JOrhh,"Jalabulajangu (From ""Don"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6R33h8YbB5fFg8RdJdQ6bL'}, 'href': 'https://api.spotify.com/v1/artists/6R33h8YbB5fFg8RdJdQ6bL', 'id': '6R33h8YbB5fFg8RdJdQ6bL', 'name': 'Rokesh', 'type': 'artist', 'uri': 'spotify:artist:6R33h8YbB5fFg8RdJdQ6bL'}]",3.3767833333333335,False,63,3cXSg3K9z6fZAd1lWmqvrc,"Jalabulajangu (From ""Don"")",2021,album,Anirudh Ravichander,Rokesh,4zCH9qm4R2DADamUHMCa6O,6R33h8YbB5fFg8RdJdQ6bL,0.635,0.823,7,-5.437,0,0.153,0.0261,0.0,0.0481,0.457,85,16339229,desi hip hop,"filmi, tamil hip hop"
38,1aQ58u4guUf999iQX3J2HF,"Beast Mode (From ""Beast"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}]",3.6725,False,62,0gTZnvc3F1cHmJTTe9OBGb,"Beast Mode (From ""Beast"")",2022,album,Anirudh Ravichander,,4zCH9qm4R2DADamUHMCa6O,,0.584,0.847,2,-5.106,1,0.0933,0.00105,0.000525,0.333,0.371,85,16339229,desi hip hop,"filmi, tamil hip hop"
7,4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",2.2653333333333334,True,78,7gsWAHLeT0w7es6FofOXk1,The Life Of Pablo,2016,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,92,19300478,chicago rap,rap
15,0j2T0R9dR9qdJYsB7ciXhf,Stronger,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",5.197766666666666,True,77,4SZko61aMnmgvNhfhgTuD3,Graduation,2007,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,92,19300478,chicago rap,rap
31,6MXXY2eiWkpDCezVCc0cMH,Good Morning,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",3.25155,True,68,4SZko61aMnmgvNhfhgTuD3,Graduation,2007,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.48,0.631,7,-5.488,1,0.116,0.0791,0.000105,0.149,0.515,92,19300478,chicago rap,rap
33,7rbECVPkY5UODxoOUVKZnA,I Wonder,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",4.057333333333333,True,77,4SZko61aMnmgvNhfhgTuD3,Graduation,2007,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,92,19300478,chicago rap,rap
36,1Wsbr1d2BouNGk2q92mIj7,Pt. 2,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",2.17155,True,62,7gsWAHLeT0w7es6FofOXk1,The Life Of Pablo,2016,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.674,0.752,11,-4.073,1,0.333,0.552,0.0,0.787,0.236,92,19300478,chicago rap,rap
39,5g1vtHqi9uV7xtYeCcFOBx,Jesus Walks,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",3.2288833333333335,True,66,4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,2004,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,92,19300478,chicago rap,rap
8,4wMpv5KCDYSCQ0rWwKON0E,"Ole Melody - From ""Thallumaala""","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QvyquqkuuwUzdszyoKIy4'}, 'href': 'https://api.spotify.com/v1/artists/1QvyquqkuuwUzdszyoKIy4', 'id': '1QvyquqkuuwUzdszyoKIy4', 'name': 'Haricharan', 'type': 'artist', 'uri': 'spotify:artist:1QvyquqkuuwUzdszyoKIy4'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/61if35zz1W11GejEkxTLEQ'}, 'href': 'https://api.spotify.com/v1/artists/61if35zz1W11GejEkxTLEQ', 'id': '61if35zz1W11GejEkxTLEQ', 'name': 'Benny Dayal', 'type': 'artist', 'uri': 'spotify:artist:61if35zz1W11GejEkxTLEQ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/51eSy32QYrEMTI6IVDtDWt'}, 'href': 'https://api.spotify.com/v1/artists/51eSy32QYrEMTI6IVDtDWt', 'id': '51eSy32QYrEMTI6IVDtDWt', 'name': 'Salim Kumar', 'type': 'artist', 'uri': 'spotify:artist:51eSy32QYrEMTI6IVDtDWt'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2einniD11Dbvrwy5nWmn4p'}, 'href': 'https://api.spotify.com/v1/artists/2einniD11Dbvrwy5nWmn4p', 'id': '2einniD11Dbvrwy5nWmn4p', 'name': 'Vishnu Vijay', 'type': 'artist', 'uri': 'spotify:artist:2einniD11Dbvrwy5nWmn4p'}]",4.033416666666667,False,55,09coDJ0hDNRUkN3qJnGfIy,Thallumaala,2022,album,Haricharan,"Benny Dayal, Salim Kumar, Vishnu Vijay",1QvyquqkuuwUzdszyoKIy4,"61if35zz1W11GejEkxTLEQ, 51eSy32QYrEMTI6IVDtDWt, 2einniD11Dbvrwy5nWmn4p",0.752,0.452,0,-11.4,1,0.35,0.142,0.000184,0.235,0.842,71,1789122,filmi,tamil pop
