track_rank,track_id,track_name,artists,track_duration,track_is_explicit,track_popularity,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others,playlist_id
56.0,7uMf1DQzEMqgJOSQgc5K2Y,"Vaathi Kabaddi (From ""Master"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5TB837uKG65w8Jnz5D0bS5'}, 'href': 'https://api.spotify.com/v1/artists/5TB837uKG65w8Jnz5D0bS5', 'id': '5TB837uKG65w8Jnz5D0bS5', 'name': 'Vidyasagar', 'type': 'artist', 'uri': 'spotify:artist:5TB837uKG65w8Jnz5D0bS5'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6H929oSANZnlbUZMcv9lCZ'}, 'href': 'https://api.spotify.com/v1/artists/6H929oSANZnlbUZMcv9lCZ', 'id': '6H929oSANZnlbUZMcv9lCZ', 'name': 'Maran', 'type': 'artist', 'uri': 'spotify:artist:6H929oSANZnlbUZMcv9lCZ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1d0FDTTmRwnzgSTDLx0pEX'}, 'href': 'https://api.spotify.com/v1/artists/1d0FDTTmRwnzgSTDLx0pEX', 'id': '1d0FDTTmRwnzgSTDLx0pEX', 'name': 'Jayamoorthy', 'type': 'artist', 'uri': 'spotify:artist:1d0FDTTmRwnzgSTDLx0pEX'}]",3.4411666666666667,False,52.0,5wLGZYZn31hwzP5CI6M8z0,"Vaathi Kabaddi (From ""Master"")",2021.0,album,Vidyasagar,"Anirudh Ravichander, Maran, Jayamoorthy",5TB837uKG65w8Jnz5D0bS5,"4zCH9qm4R2DADamUHMCa6O, 6H929oSANZnlbUZMcv9lCZ, 1d0FDTTmRwnzgSTDLx0pEX",,,,,,,,,,,,,,,37i9dQZF1DX7vl8XKmpwdM
59.0,5MbszOoRyTOwOIJEOIZn6v,Sirikkalam Parakkalam,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/61if35zz1W11GejEkxTLEQ'}, 'href': 'https://api.spotify.com/v1/artists/61if35zz1W11GejEkxTLEQ', 'id': '61if35zz1W11GejEkxTLEQ', 'name': 'Benny Dayal', 'type': 'artist', 'uri': 'spotify:artist:61if35zz1W11GejEkxTLEQ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4FgSTfUKCjbKGQlhuH5e34'}, 'href': 'https://api.spotify.com/v1/artists/4FgSTfUKCjbKGQlhuH5e34', 'id': '4FgSTfUKCjbKGQlhuH5e34', 'name': 'Madurai Soulijos', 'type': 'artist', 'uri': 'spotify:artist:4FgSTfUKCjbKGQlhuH5e34'}]",3.2670833333333333,False,52.0,75tmDdVdpjSQwoEc0WjRug,Kannum Kannum Kollaiyadithaal,2020.0,album,Benny Dayal,Madurai Soulijos,61if35zz1W11GejEkxTLEQ,4FgSTfUKCjbKGQlhuH5e34,,,,,,,,,,,,,,,37i9dQZF1DX7vl8XKmpwdM
63.0,2IwpPKgQGzXIjGdJza2chX,"Muqabla (From ""Street Dancer 3D"") [Tamil]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4RlnRVxKm3jnUzOP4czbIK'}, 'href': 'https://api.spotify.com/v1/artists/4RlnRVxKm3jnUzOP4czbIK', 'id': '4RlnRVxKm3jnUzOP4czbIK', 'name': 'Yash Narvekar', 'type': 'artist', 'uri': 'spotify:artist:4RlnRVxKm3jnUzOP4czbIK'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1E6arsXf5Fgsnv9YpSzjpE'}, 'href': 'https://api.spotify.com/v1/artists/1E6arsXf5Fgsnv9YpSzjpE', 'id': '1E6arsXf5Fgsnv9YpSzjpE', 'name': 'Parampara Tandon', 'type': 'artist', 'uri': 'spotify:artist:1E6arsXf5Fgsnv9YpSzjpE'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4f7KfxeHq9BiylGmyXepGt'}, 'href': 'https://api.spotify.com/v1/artists/4f7KfxeHq9BiylGmyXepGt', 'id': '4f7KfxeHq9BiylGmyXepGt', 'name': 'Tanishk Bagchi', 'type': 'artist', 'uri': 'spotify:artist:4f7KfxeHq9BiylGmyXepGt'}]",2.9410833333333333,False,43.0,3Bg3fiWoS3JDC9mkCZ9XxU,"Muqabla (From ""Street Dancer 3D"") [Tamil]",2019.0,album,Yash Narvekar,"Parampara Tandon, Tanishk Bagchi",4RlnRVxKm3jnUzOP4czbIK,"1E6arsXf5Fgsnv9YpSzjpE, 4f7KfxeHq9BiylGmyXepGt",,,,,,,,,,,,,,,37i9dQZF1DX7vl8XKmpwdM
,,,,,,,,,,,,,5TB837uKG65w8Jnz5D0bS5,,,,,,,,,,,,60.0,2005381.0,filmi,"kollywood, tamil pop",37i9dQZF1DX7vl8XKmpwdM
,,,,,,,,,,,,,61if35zz1W11GejEkxTLEQ,,,,,,,,,,,,71.0,3618547.0,desi pop,"filmi, modern bollywood",37i9dQZF1DX7vl8XKmpwdM
,,,,,,,,,,,,,4RlnRVxKm3jnUzOP4czbIK,,,,,,,,,,,,55.0,13925.0,modern bollywood,,37i9dQZF1DX7vl8XKmpwdM
1.0,6TK7jseRCrogw9IzQYkw2h,"Thee Thalapathy (From ""Varisu"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5Hn84AFwiTEi8eMoI5B9AS'}, 'href': 'https://api.spotify.com/v1/artists/5Hn84AFwiTEi8eMoI5B9AS', 'id': '5Hn84AFwiTEi8eMoI5B9AS', 'name': 'Silambarasan TR', 'type': 'artist', 'uri': 'spotify:artist:5Hn84AFwiTEi8eMoI5B9AS'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2FgHPfRprDaylrSRVf1UlN'}, 'href': 'https://api.spotify.com/v1/artists/2FgHPfRprDaylrSRVf1UlN', 'id': '2FgHPfRprDaylrSRVf1UlN', 'name': 'Thaman S', 'type': 'artist', 'uri': 'spotify:artist:2FgHPfRprDaylrSRVf1UlN'}]",4.3,False,75.0,3ZcY45jXNx9jTGjpNv3GbL,"Thee Thalapathy (From ""Varisu"")",2022.0,album,Silambarasan TR,Thaman S,5Hn84AFwiTEi8eMoI5B9AS,2FgHPfRprDaylrSRVf1UlN,0.674,0.907,10.0,-5.078,0.0,0.122,0.567,0.0,0.259,0.828,69.0,164526.0,desi hip hop,"filmi, tamil pop",37i9dQZF1DX1i3hvzHpcQV
2.0,7H7ktpLPBvpJ0A2pwUy4hB,"Chilla Chilla (From ""Thunivu"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jw2v5ZbSWBinNaECXq8cJ'}, 'href': 'https://api.spotify.com/v1/artists/3jw2v5ZbSWBinNaECXq8cJ', 'id': '3jw2v5ZbSWBinNaECXq8cJ', 'name': 'Ghibran', 'type': 'artist', 'uri': 'spotify:artist:3jw2v5ZbSWBinNaECXq8cJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/61ARIGyeQjBmULCy2ckSTp'}, 'href': 'https://api.spotify.com/v1/artists/61ARIGyeQjBmULCy2ckSTp', 'id': '61ARIGyeQjBmULCy2ckSTp', 'name': 'vaisagh', 'type': 'artist', 'uri': 'spotify:artist:61ARIGyeQjBmULCy2ckSTp'}]",3.7037,False,73.0,5hZOtTKT6VNJRgTDE28Hje,"Chilla Chilla (From ""Thunivu"")",2022.0,album,Ghibran,"Anirudh Ravichander, vaisagh",3jw2v5ZbSWBinNaECXq8cJ,"4zCH9qm4R2DADamUHMCa6O, 61ARIGyeQjBmULCy2ckSTp",0.609,0.865,7.0,-6.335,1.0,0.277,0.00538,0.0,0.309,0.514,69.0,478599.0,filmi,tamil pop,37i9dQZF1DX1i3hvzHpcQV
6.0,1DmCs9mXUP9wnaTQcsT5aH,"Kasethan Kadavulada (From ""Thunivu"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jw2v5ZbSWBinNaECXq8cJ'}, 'href': 'https://api.spotify.com/v1/artists/3jw2v5ZbSWBinNaECXq8cJ', 'id': '3jw2v5ZbSWBinNaECXq8cJ', 'name': 'Ghibran', 'type': 'artist', 'uri': 'spotify:artist:3jw2v5ZbSWBinNaECXq8cJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4IXYF3FJmeKQFqT7pAjf3h'}, 'href': 'https://api.spotify.com/v1/artists/4IXYF3FJmeKQFqT7pAjf3h', 'id': '4IXYF3FJmeKQFqT7pAjf3h', 'name': 'Manju Warrier', 'type': 'artist', 'uri': 'spotify:artist:4IXYF3FJmeKQFqT7pAjf3h'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/61ARIGyeQjBmULCy2ckSTp'}, 'href': 'https://api.spotify.com/v1/artists/61ARIGyeQjBmULCy2ckSTp', 'id': '61ARIGyeQjBmULCy2ckSTp', 'name': 'vaisagh', 'type': 'artist', 'uri': 'spotify:artist:61ARIGyeQjBmULCy2ckSTp'}]",3.1342,False,69.0,4wbatnzqMwHfR7SOGzkJyi,"Kasethan Kadavulada (From ""Thunivu"")",2022.0,album,Ghibran,"Manju Warrier, vaisagh",3jw2v5ZbSWBinNaECXq8cJ,"4IXYF3FJmeKQFqT7pAjf3h, 61ARIGyeQjBmULCy2ckSTp",0.747,0.841,11.0,-5.981,0.0,0.107,0.0377,3.16e-06,0.163,0.332,69.0,478599.0,filmi,tamil pop,37i9dQZF1DX1i3hvzHpcQV
13.0,23xgRYhf7NbleK53LGwgAp,Gangstaa,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jw2v5ZbSWBinNaECXq8cJ'}, 'href': 'https://api.spotify.com/v1/artists/3jw2v5ZbSWBinNaECXq8cJ', 'id': '3jw2v5ZbSWBinNaECXq8cJ', 'name': 'Ghibran', 'type': 'artist', 'uri': 'spotify:artist:3jw2v5ZbSWBinNaECXq8cJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1rya10vhugXdhuxVDPUwng'}, 'href': 'https://api.spotify.com/v1/artists/1rya10vhugXdhuxVDPUwng', 'id': '1rya10vhugXdhuxVDPUwng', 'name': 'Shabir Sulthan', 'type': 'artist', 'uri': 'spotify:artist:1rya10vhugXdhuxVDPUwng'}]",3.3489666666666666,False,66.0,6yrTMquEeWzhMIdGqzXhgA,Thunivu (Original Motion Picture Soundtrack),2022.0,album,Ghibran,Shabir Sulthan,3jw2v5ZbSWBinNaECXq8cJ,1rya10vhugXdhuxVDPUwng,0.632,0.91,9.0,-7.032,1.0,0.175,0.0144,0.00527,0.307,0.546,69.0,478599.0,filmi,tamil pop,37i9dQZF1DX1i3hvzHpcQV
